,Voz,Compasso,Nota Inicial,Sequencia de notas,Ritmos,Intervalos,Transposição,Micro Motivo,Sujeito
,2,1,C4,"C4, D4, E4, F4","8, 8, 8, 12","2, 2, 1",0,1,1
,2,1,G4,"G4,F4, E4,A4,D4,G4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",0,2,1
,2,2,A4,"A4, G4,F4,E4","16, 16, 16, 16","-2, -2,-1",0,3,1
,1,2,G4,"G4,A4,B4,C5","8, 8, 8, 12","2, 2, 1",7,1,2
,1,3,D5,"D5, C5 ,B4, E5, A4, D5","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",7,2,2
,1,3,E5,"E5, D5, C5, B4","16, 16, 16, 16","-2, -2,-1",7,3,2
,3,4,G3,"G3, A3, B3,C4","8, 8, 8, 12","2, 2, 1",-5,1,3
,3,4,D4,"D4, C4 ,B3, E4, A3, D4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-5,2,3
,3,5,E4,"E4, D4, C4, B3","16, 16, 16, 16","-2, -2,-1",-5,3,3
,4,5,C3,"C3, D3, E3, F3","8, 8, 8, 12","2, 2, 1",-12,1,4
,4,6,G3,"G3,F3, E3,A3,D3,G3","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-12,2,4
,4,6,A3,"A3, G3,F3,E3","16, 16, 16, 16","-2, -2,-1",-12,3,4
,1,7,C5,"C5, D5, E5, F5","8, 8, 8, 12","2, 2, 1",12,1,5
,1,7,G5,"G5,F5, E5,A5,D5,G5","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",12,2,5
,1,8,A5,"A45, G5,F5,E5","16, 16, 16, 16","-2, -2,-1",12,3,5
,3,7,G3,"G3, A3, B3,C4","8, 8, 8, 12","2, 2, 1",-5,1,6
,3,7,D4,"D4, C4 ,B3, E4, A3, D4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-5,2,6
,3,8,E4,"E4, D4, C4, B3","16, 16, 16, 16","-2, -2,-1",-5,3,6
,2,9,G4,"G4,A4,B4,C5","8, 8, 8, 12","2, 2, 1",7,1,7
,2,9,D5,"D5, C5 ,B4, E5, A4, D5","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",7,2,7
,2,10,E5,"E5, D5, C5, B4","16, 16, 16, 16","-2, -2,-1",7,3,7
,4,10,G2,"G2,A2,B2,C3","8, 8, 8, 12","2, 2, 1",-17,1,8
,4,11,D3,"D3, C3 ,B2, E3, A2, D3","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-17,2,8
,4,11,E3,"E3, D3, C3, B2","16, 16, 16, 16","-2, -2,-1",-17,3,8
,2,10,D4,"D4, E4, F#4, G4","8, 8, 8, 12","2, 2, 1",2,1,9
,2,11,A4,"A4, G4, F4, B4,E4,A4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",2,2,9
,2,12,B4,"B4, A4,G#4,F#4","16, 16, 16, 16","-2, -2,-1",2,3,9
,3,12,E3,"E3, F#3, G#3, A3","8, 8, 8, 12","2, 2, 1",-8,1,10
,3,12,B3,"B3, A3, G3, C4, F#3, B3","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-8,2,10
,3,13,C4,"C4, B3, A3, G#3","16, 16, 16, 16","-2, -2,-1",-8,3,10
,2,12,C4,"C4, D4, E4, F4","8, 8, 8, 12","2, 2, 1",0,1,11
,2,12,G4,"G4,F4, E4,A4,D4,G4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",0,2,11
,2,13,A4,"A4, G4,F4,E4","16, 16, 16, 16","-2, -2,-1",0,3,11
,3,14,G3,"G3, A3, B3,C4","8, 8, 8, 12","2, 2, 1",-5,1,12
,3,14,D4,"D4, C4 ,B3, E4, A3, D4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-5,2,12
,4,15,G2,"G2,A2,B2,C3","8, 8, 8, 12","2, 2, 1",-17,1,13
,4,15,D3,"D3, C3 ,B2, E3, A2, D3","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-17,2,13
,4,16,E3,"E3, D3, C3, B2","16, 16, 16, 16","-2, -2,-1",-17,3,13
,1,15,G4,"G4,A4,B4,C5","8, 8, 8, 12","2, 2, 1",7,1,14
,1,16,D5,"D5, C5 ,B4","32, 32, 8","-2, -1",7,2,14
,2,16,G4,"G4,A4,B4,C5","8, 8, 8, 12","2, 2, 1",7,1,15
,2,17,D5,"D5, C5 ,B4, E5, A4, D5","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",7,2,15
,2,17,E5,"E5, D5, C5, B4","16, 16, 16, 16","-2, -2,-1",7,3,15
,3,17,A3,"A3, B3, C#4, D4","8, 8, 8, 12","2, 2, 1",-3,1,16
,3,17,E4,"E4, D4, C4, F4, B3, E4","32, 32, 8, 8, 8, 12","-2, -2, 5, -8, 5",-3,2,16
,3,18,F4,"F4, E4, D4, C#4","16, 16, 16, 16","-2, -2,-1",-3,3,16
,4,17,D3,"D3, E3, F3, G3","4,8,8,12","2,1,2",-10,1,17
,4,18,A3,"A3, G3,F3, Bb3, E3, A3","32, 32, 8, 8, 8, 12","-2, -2, 5, -6, 5",-10,2,17
,4,18,B3,"B3, A3, G3, F3","16, 16, 16, 16","-2, -2,-2",-10,3,17
,3,19,A3,"A3, B3, C#4, D4","8, 8, 8, 12","2, 2, 1",-3,1,18
,3,19,E4,"E4, D4, C4, F#4, B3, E4","32, 32, 8, 8, 8, 12","-2, -2, 6, -7, 5",-3,2,18
,3,20,F4,"F#4, E4, D4, C4","16, 16, 16, 16","-2, -2,-2",-3,3,18
,2,19,E4,"E4, F#4, G4, A4","8, 8, 8, 12","2, 1, 2",,1,19
,2,19,B4,"B4, A4,G4,C5, F#4, B4 ","32, 32, 8, 8, 8, 12","-2, -2, 5, -6, 5",,2,19
,2,20,C5,"C5, B4, A4, G4","16, 16, 16, 16","-2, -2,-2",,3,19
,1,20,G4,"G4,A4,B4,C5","8, 8, 8, 12","2, 2, 1",7,1,20
,1,21,D5,"D5, C5 ,B4, E5, A4, D5","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",7,2,20
,1,22,E5,"E5, D5, C5, B4","16, 16, 16, 16","-2, -2,-1",7,3,20
,3,21,B3,"B3, C4, D4, E4","8, 8, 8, 12","1, 2, 2",-1,1,21
,3,22,F4,"F4, E4, D4, G4, C4, F4","32, 32, 8, 8, 8, 12","-1, -2, 5, -7, 5",-1,2,21
,3,22,G4,"G4, F4, E4, D4","16, 16, 16, 16","-2, -1,-2",-1,3,21
,3,24,C3,"C3, D3, E3, F3","8, 8, 8, 12","2, 2, 1",-12,1,22
,3,24,G3,"G3,F3, E3,A3,D3,G3","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-12,2,22
,3,25,A3,"A3, G3,F3,E3","16, 16, 16, 16","-2, -2,-1",-12,3,22
,2,24,F4,"F4, G4, A4, Bb4","8, 8, 8, 12","2, 2, 1",-7,1,23
,2,24,C5,"C5, Bb4, A4, D5, G4, C4","32, 32, 8, 8, 8, 12","-2, -1, 5, -7, 5",-7,2,23
,2,25,D5,"D5, C5 ,B4, A4","16, 16, 16, 16","-2, -1,-2",-7,3,23
