Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 1,2,"67, 69, 71","1, 1, 1","67.0, 69.0, 71.0"
Voz 1,3,"72, 74, 72, 71, 76, 69, 74, 76, 74, 72","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0, 76.0, 74.0, 72.0"
Voz 1,4,"71, 67, 69, 71, 72, 71, 72, 74, 76, 74, 76, 78, 79, 71","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","71.0, 67.0, 69.0, 71.0, 72.0, 71.0, 72.0, 74.0, 76.0, 74.0, 76.0, 78.0, 79.0, 71.0"
Voz 1,5,"72, 69, 74, 72, 71, 69, 67, 67, 65, 64, 65, 67","3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","72.0, 69.0, 74.0, 72.0, 71.0, 69.0, 67.0, 67.0, 65.0, 64.0, 65.0, 67.0"
Voz 1,6,"69, 67, 69, 71, 72, 71","3, 1, 1, 1, 1, 1","69.0, 67.0, 69.0, 71.0, 72.0, 71.0"
Voz 1,7,"72, 74, 76, 77, 79, 77, 76, 81","1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 76.0, 77.0, 79.0, 77.0, 76.0, 81.0"
Voz 1,8,"74, 79, 81, 79, 77, 76, 81, 83, 81, 79","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","74.0, 79.0, 81.0, 79.0, 77.0, 76.0, 81.0, 83.0, 81.0, 79.0"
Voz 1,9,"77, 76, 78, 79","3, 2, 1, 1","77.0, 76.0, 78.0, 79.0"
Voz 1,10,"79, 78, 79, 77, 76, 74, 72, 74, 72, 71","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","79.0, 78.0, 79.0, 77.0, 76.0, 74.0, 72.0, 74.0, 72.0, 71.0"
Voz 1,11,"69, 72, 71, 69, 72, 69, 68, 76","3, 1, 1, 1, 1, 1, 1, 1","69.0, 72.0, 71.0, 69.0, 72.0, 69.0, 68.0, 76.0"
Voz 1,12,"74, 72, 71, 69, 68, 69, 71, 72, 66, 68, 69, 71, 69, 71","3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1","74.0, 72.0, 71.0, 69.0, 68.0, 69.0, 71.0, 72.0, 66.0, 68.0, 69.0, 71.0, 69.0, 71.0"
Voz 1,13,"72, 77, 76, 74, 74, 72, 71, 71, 69","3, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 77.0, 76.0, 74.0, 74.0, 72.0, 71.0, 71.0, 69.0"
Voz 1,14,69,3,69.0
Voz 1,15,"67, 69, 71","1, 1, 1","67.0, 69.0, 71.0"
Voz 1,16,"72, 74, 72, 71, 72, 74, 76, 77, 79, 77","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 72.0, 74.0, 76.0, 77.0, 79.0, 77.0"
Voz 1,17,"76, 81, 74, 79, 79, 81, 79, 77, 76, 81","3, 1, 1, 1, 2, 1, 1, 1, 1, 1","76.0, 81.0, 74.0, 79.0, 79.0, 81.0, 79.0, 77.0, 76.0, 81.0"
