Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 1,2,"G4, A4, B4","1, 1, 1","67.0, 69.0, 71.0"
Voz 1,3,"C5, D5, C5, B4; E5; A4; D5, E5, D5, C5","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0, 76.0, 74.0, 72.0"
Voz 1,4,"B4; G4, A4, B4, C5, B4, C5, D5, E5, D5, E5, F#5, G5; B4","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","71.0, 67.0, 69.0, 71.0, 72.0, 71.0, 72.0, 74.0, 76.0, 74.0, 76.0, 78.0, 79.0, 71.0"
Voz 1,5,"C5; A4; D5, C5, B4, A4, G4, G4, F4, E4, F4, G4","3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","72.0, 69.0, 74.0, 72.0, 71.0, 69.0, 67.0, 67.0, 65.0, 64.0, 65.0, 67.0"
Voz 1,6,"A4, G4, A4, B4, C5, B4","3, 1, 1, 1, 1, 1","69.0, 67.0, 69.0, 71.0, 72.0, 71.0"
Voz 1,7,"C5, D5, E5, F5, G5, F5, E5; A5","1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 76.0, 77.0, 79.0, 77.0, 76.0, 81.0"
Voz 1,8,"D5; G5, A5, G5, F5, E5; A5, B5, A5, G5","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","74.0, 79.0, 81.0, 79.0, 77.0, 76.0, 81.0, 83.0, 81.0, 79.0"
Voz 1,9,"F5, E5, F#5, G5","3, 2, 1, 1","77.0, 76.0, 78.0, 79.0"
Voz 1,10,"G5, F#5, G5, F5, E5, D5, C5, D5, C5, B4","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","79.0, 78.0, 79.0, 77.0, 76.0, 74.0, 72.0, 74.0, 72.0, 71.0"
Voz 1,11,"A4; C5, B4, A4; C5; A4, G#4; E5","3, 1, 1, 1, 1, 1, 1, 1","69.0, 72.0, 71.0, 69.0, 72.0, 69.0, 68.0, 76.0"
Voz 1,12,"D5, C5, B4, A4, G#4, A4, B4, C5; F#4, G#4, A4, B4, A4, B4","3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1","74.0, 72.0, 71.0, 69.0, 68.0, 69.0, 71.0, 72.0, 66.0, 68.0, 69.0, 71.0, 69.0, 71.0"
Voz 1,13,"C5; F5, E5, D5, D5, C5, B4, B4, A4","3, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 77.0, 76.0, 74.0, 74.0, 72.0, 71.0, 71.0, 69.0"
Voz 1,14,A4,3,69.0
Voz 1,15,"G4, A4, B4","1, 1, 1","67.0, 69.0, 71.0"
Voz 1,16,"C5, D5, C5, B4, C5, D5, E5, F5, G5, F5","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 72.0, 74.0, 76.0, 77.0, 79.0, 77.0"
Voz 1,17,"E5; A5; D5; G5, G5, A5, G5, F5, E5; A5","3, 1, 1, 1, 2, 1, 1, 1, 1, 1","76.0, 81.0, 74.0, 79.0, 79.0, 81.0, 79.0, 77.0, 76.0, 81.0"
Voz 1,18,"D5; B-5, A5, G5, F5, G5, F5, G5; E5, F5, G5, G5, F5, G5","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1","74.0, 82.0, 81.0, 79.0, 77.0, 79.0, 77.0, 79.0, 76.0, 77.0, 79.0, 79.0, 77.0, 79.0"
Voz 1,19,"A5; C#5, D5; G5; E5, D5, D5","3, 1, 1, 1, 1, 1, 2","81.0, 73.0, 74.0, 79.0, 76.0, 74.0, 74.0"
Voz 1,20,G4,1,67.0
Voz 1,21,"A4, B4, C5, D5, C5, B4; E5; A4; D5","3, 1, 1, 1, 1, 2, 1, 1, 1","69.0, 71.0, 72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0"
Voz 1,22,"D5, E5, D5, C5, B4, C5, D5, E5, F5, G5, A5, G5, F5, E5, D5, C5","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","74.0, 76.0, 74.0, 72.0, 71.0, 72.0, 74.0, 76.0, 77.0, 79.0, 81.0, 79.0, 77.0, 76.0, 74.0, 72.0"
Voz 1,23,"B4, C5, D5; G4; C5, C5, B4","3, 1, 1, 2, 1, 1, 1","71.0, 72.0, 74.0, 67.0, 72.0, 72.0, 71.0"
Voz 1,24,"C5, B4, B-4, A4; D5, D5, C5","3, 1, 1, 2, 1, 1, 1","72.0, 71.0, 70.0, 69.0, 74.0, 74.0, 72.0"
Voz 1,25,"D5, E5, F5, F5; A5, G5, F5, E5, F5, E5, D5","3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","74.0, 76.0, 77.0, 77.0, 81.0, 79.0, 77.0, 76.0, 77.0, 76.0, 74.0"
Voz 1,26,"C5; G4, A4, B4, C5, D5, E5, F5","3, 1, 1, 1, 1, 1, 1, 1","72.0, 67.0, 69.0, 71.0, 72.0, 74.0, 76.0, 77.0"
Voz 1,27,"F5; C5, D5, E5, F5, G5, A5, B5, C6","3, 1, 1, 1, 1, 1, 1, 1, 2","77.0, 72.0, 74.0, 76.0, 77.0, 79.0, 81.0, 83.0, 84.0"
Voz 2,1,"C4, D4, E4, F4, G4, F4, E4; A4","1, 1, 1, 2, 1, 1, 1, 1","60.0, 62.0, 64.0, 65.0, 67.0, 65.0, 64.0, 69.0"
