pitch,duration,offset,velocity,instrument,is_rest
,4.0,0.0,0,Oboe,True
,2.0,0.0,0,Oboe,True
,0.5,2.0,0,Oboe,True
67,0.5,2.5,64,Oboe,False
69,0.5,3.0,64,Oboe,False
71,0.5,3.5,64,Oboe,False
72,0.75,0.0,64,Oboe,False
74,0.125,0.75,64,Oboe,False
72,0.125,0.875,64,Oboe,False
71,0.5,1.0,64,Oboe,False
76,0.5,1.5,64,Oboe,False
69,0.5,2.0,64,Oboe,False
74,0.75,2.5,64,Oboe,False
76,0.25,3.25,64,Oboe,False
74,0.25,3.5,64,Oboe,False
72,0.25,3.75,64,Oboe,False
71,0.25,0.0,64,Oboe,False
67,0.25,0.25,64,Oboe,False
69,0.25,0.5,64,Oboe,False
71,0.25,0.75,64,Oboe,False
72,0.25,1.0,64,Oboe,False
71,0.25,1.25,64,Oboe,False
72,0.25,1.5,64,Oboe,False
74,0.25,1.75,64,Oboe,False
76,0.25,2.0,64,Oboe,False
74,0.25,2.25,64,Oboe,False
76,0.25,2.5,64,Oboe,False
78,0.25,2.75,64,Oboe,False
79,0.5,3.0,64,Oboe,False
71,0.5,3.5,64,Oboe,False
72,0.5,0.0,64,Oboe,False
69,0.5,0.5,64,Oboe,False
74,0.25,1.0,64,Oboe,False
72,0.25,1.25,64,Oboe,False
71,0.25,1.5,64,Oboe,False
69,0.25,1.75,64,Oboe,False
67,0.75,2.0,64,Oboe,False
67,0.25,2.75,64,Oboe,False
65,0.25,3.0,64,Oboe,False
64,0.25,3.25,64,Oboe,False
65,0.25,3.5,64,Oboe,False
67,0.25,3.75,64,Oboe,False
69,0.25,0.0,64,Oboe,False
67,0.25,0.25,64,Oboe,False
69,0.25,0.5,64,Oboe,False
71,0.25,0.75,64,Oboe,False
72,2.0,1.0,64,Oboe,False
71,1.0,3.0,64,Oboe,False
,0.5,0.0,0,Oboe,True
72,0.5,0.5,64,Oboe,False
74,0.5,1.0,64,Oboe,False
76,0.5,1.5,64,Oboe,False
77,0.75,2.0,64,Oboe,False
79,0.125,2.75,64,Oboe,False
77,0.125,2.875,64,Oboe,False
76,0.5,3.0,64,Oboe,False
81,0.5,3.5,64,Oboe,False
74,0.5,0.0,64,Oboe,False
79,0.75,0.5,64,Oboe,False
81,0.25,1.25,64,Oboe,False
79,0.25,1.5,64,Oboe,False
77,0.25,1.75,64,Oboe,False
76,0.5,2.0,64,Oboe,False
81,0.75,2.5,64,Oboe,False
83,0.25,3.25,64,Oboe,False
81,0.25,3.5,64,Oboe,False
79,0.25,3.75,64,Oboe,False
77,2.0,0.0,64,Oboe,False
76,0.75,2.0,64,Oboe,False
78,0.25,2.75,64,Oboe,False
79,1.0,3.0,64,Oboe,False
79,1.0,0.0,64,Oboe,False
78,1.0,1.0,64,Oboe,False
79,0.25,2.0,64,Oboe,False
77,0.25,2.25,64,Oboe,False
76,0.25,2.5,64,Oboe,False
74,0.25,2.75,64,Oboe,False
72,0.25,3.0,64,Oboe,False
74,0.25,3.25,64,Oboe,False
72,0.25,3.5,64,Oboe,False
71,0.25,3.75,64,Oboe,False
69,0.25,0.0,64,Oboe,False
72,0.25,0.25,64,Oboe,False
71,0.25,0.5,64,Oboe,False
69,0.25,0.75,64,Oboe,False
,1.0,1.0,0,Oboe,True
,0.25,2.0,0,Oboe,True
72,0.25,2.25,64,Oboe,False
,0.25,2.5,0,Oboe,True
69,0.25,2.75,64,Oboe,False
68,0.5,3.0,64,Oboe,False
76,0.5,3.5,64,Oboe,False
74,0.5,0.0,64,Oboe,False
72,0.25,0.5,64,Oboe,False
71,0.25,0.75,64,Oboe,False
69,0.25,1.0,64,Oboe,False
68,0.25,1.25,64,Oboe,False
69,0.25,1.5,64,Oboe,False
71,0.25,1.75,64,Oboe,False
72,0.25,2.0,64,Oboe,False
66,0.25,2.25,64,Oboe,False
68,0.25,2.5,64,Oboe,False
69,0.25,2.75,64,Oboe,False
71,0.5,3.0,64,Oboe,False
69,0.25,3.5,64,Oboe,False
71,0.25,3.75,64,Oboe,False
72,0.5,0.0,64,Oboe,False
77,0.5,0.5,64,Oboe,False
76,0.5,1.0,64,Oboe,False
74,0.5,1.5,64,Oboe,False
74,0.5,2.0,64,Oboe,False
72,0.25,2.5,64,Oboe,False
71,0.25,2.75,64,Oboe,False
71,0.75,3.0,64,Oboe,False
69,0.25,3.75,64,Oboe,False
69,1.0,0.0,64,Oboe,False
,1.0,1.0,0,Oboe,True
,2.0,2.0,0,Oboe,True
,2.0,0.0,0,Oboe,True
,0.5,2.0,0,Oboe,True
67,0.5,2.5,64,Oboe,False
69,0.5,3.0,64,Oboe,False
71,0.5,3.5,64,Oboe,False
72,0.75,0.0,64,Oboe,False
74,0.125,0.75,64,Oboe,False
72,0.125,0.875,64,Oboe,False
71,0.5,1.0,64,Oboe,False
72,0.5,1.5,64,Oboe,False
74,0.5,2.0,64,Oboe,False
76,0.5,2.5,64,Oboe,False
77,0.75,3.0,64,Oboe,False
79,0.125,3.75,64,Oboe,False
77,0.125,3.875,64,Oboe,False
76,0.5,0.0,64,Oboe,False
81,0.5,0.5,64,Oboe,False
74,0.5,1.0,64,Oboe,False
79,0.5,1.5,64,Oboe,False
79,0.25,2.0,64,Oboe,False
81,0.25,2.25,64,Oboe,False
79,0.25,2.5,64,Oboe,False
77,0.25,2.75,64,Oboe,False
76,0.5,3.0,64,Oboe,False
81,0.5,3.5,64,Oboe,False
74,0.5,0.0,64,Oboe,False
82,0.5,0.5,64,Oboe,False
81,0.5,1.0,64,Oboe,False
79,0.25,1.5,64,Oboe,False
77,0.25,1.75,64,Oboe,False
79,0.25,2.0,64,Oboe,False
77,0.25,2.25,64,Oboe,False
79,0.25,2.5,64,Oboe,False
76,0.25,2.75,64,Oboe,False
77,0.25,3.0,64,Oboe,False
79,0.25,3.25,64,Oboe,False
79,0.125,3.5,64,Oboe,False
"[79, 81]",0.125,3.625,64,Oboe,False
77,0.125,3.75,64,Oboe,False
79,0.125,3.875,64,Oboe,False
81,0.25,0.0,64,Oboe,False
73,0.25,0.25,64,Oboe,False
74,0.25,0.5,64,Oboe,False
79,0.25,0.75,64,Oboe,False
76,0.75,1.0,64,Oboe,False
74,0.25,1.75,64,Oboe,False
74,0.5,2.0,64,Oboe,False
,0.5,2.5,0,Oboe,True
,1.0,3.0,0,Oboe,True
,2.0,0.0,0,Oboe,True
,1.0,2.0,0,Oboe,True
,0.5,3.0,0,Oboe,True
67,0.5,3.5,64,Oboe,False
69,0.5,0.0,64,Oboe,False
71,0.5,0.5,64,Oboe,False
72,0.75,1.0,64,Oboe,False
74,0.125,1.75,64,Oboe,False
72,0.125,1.875,64,Oboe,False
71,0.5,2.0,64,Oboe,False
76,0.5,2.5,64,Oboe,False
69,0.5,3.0,64,Oboe,False
